duf_pfam_id	duf_pfam_name	partner_architecture	n_edges	n_taxa	n_duf_proteins	n_partner_proteins	max_combined	mean_combined	max_direct_evidence	max_context_evidence	n_experiment_edges	max_neighborhood	n_neighborhood_edges	max_neighborhood_transferred	n_neighborhood_transferred_edges	max_fusion	n_fusion_edges	max_cooccurence	n_cooccurence_edges	max_homology	n_homology_edges	max_coexpression	n_coexpression_edges	max_coexpression_transferred	n_coexpression_transferred_edges	max_experiments	n_experiments_edges	max_experiments_transferred	n_experiments_transferred_edges	max_database	n_database_edges	max_database_transferred	n_database_transferred_edges	max_textmining	n_textmining_edges	max_textmining_transferred	n_textmining_transferred_edges	module_score	module_key	separate_channel_l2_score	taxid	duf_protein	partner_protein	duf_architecture	combined_score	direct_evidence	context_evidence	neighborhood	neighborhood_transferred	fusion	cooccurence	homology	coexpression	coexpression_transferred	experiments	experiments_transferred	database	database_transferred	textmining	textmining_transferred	evidence_flags	_pair_key	has_representative	has_sequence
PF18150	DUF5600 - Domain of unknown function (DUF5600)	NO_PFAM	1636	168	374	447	997	830.5	900	900	6	0	0	73	12	900	8	535	56	987	50	350	36	349	44	510	6	997	970	900	200	985	1184	965	112	802	1536	20.433373081744936	PF18150 || NO_PFAM	0.9773610224945743	9739	9739.ENSTTRP00000008428	9739.ENSTTRP00000004538	PF00350;PF12763;PF16880;PF18150	997	0	0	0	0	0	0	0	0	0	0	997	0	0	0	155	experiments_transferred;textmining_transferred	9739.ENSTTRP00000004538 || 9739.ENSTTRP00000008428	True	False
PF05960	DUF885 - Bacterial protein of unknown function (DUF885)	NO_PFAM	204	73	83	95	994	786.1078431372549	900	900	0	773	138	531	60	900	10	775	52	985	4	0	0	422	30	0	0	920	36	0	0	612	32	0	0	638	36	15.73114016554675	PF05960 || NO_PFAM	0.97735981753229	35756	35756.GCA_001044155_01153	35756.GCA_001044155_01154	PF05960	994	900	900	773	0	900	773	0	0	0	0	0	0	0	0	0	neighborhood;fusion;cooccurence	35756.GCA_001044155_01153 || 35756.GCA_001044155_01154	True	False
PF05661	DUF808 - Protein of unknown function (DUF808)	NO_PFAM	80	37	37	40	994	787.675	900	900	0	773	80	629	44	900	4	774	4	620	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.469621474125212	PF05661 || NO_PFAM	0.9766155920110278	1724	1724.GCA_001044175_01353	1724.GCA_001044175_01352	PF05661	994	900	900	773	71	900	774	0	0	0	0	0	0	0	0	0	neighborhood;neighborhood_transferred;fusion;cooccurence	1724.GCA_001044175_01352 || 1724.GCA_001044175_01353	True	False
PF11851	DUF3371 - Domain of unknown function (DUF3371)	NO_PFAM	810	66	122	340	999	822.7135802469136	900	215	2	0	0	55	34	0	0	215	106	965	134	84	36	897	128	800	2	999	668	900	90	909	322	956	214	806	780	16.7719594372314	PF11851 || NO_PFAM	0.96991775320763	9365	9365.ENSEEUP00000007902	9365.ENSEEUP00000005358	PF00010;PF11851;PF15951	999	0	0	0	0	0	0	0	0	0	0	999	0	256	0	56	experiments_transferred;database_transferred;textmining_transferred	9365.ENSEEUP00000005358 || 9365.ENSEEUP00000007902	True	False
PF19302	DUF5915 - Domain of unknown function (DUF5915)	NO_PFAM	6764	651	709	3000	999	829.7332939089297	900	962	0	773	142	962	5518	900	38	774	292	987	200	166	56	999	5808	0	0	996	4884	900	80	993	3826	887	136	905	6122	23.64160666445819	PF19302 || NO_PFAM	0.9675957860403326	10116	10116.ENSRNOP00000019862	10116.ENSRNOP00000034945	PF00133;PF08264;PF19302;PF23567	999	720	87	0	87	0	0	0	166	527	0	961	720	0	719	620	neighborhood_transferred;coexpression;coexpression_transferred;experiments_transferred;database;textmining;textmining_transferred	10116.ENSRNOP00000019862 || 10116.ENSRNOP00000034945	True	False
PF11329	DUF3131 - Protein of unknown function (DUF3131)	NO_PFAM	142	34	51	53	982	779.7323943661971	900	900	0	773	114	204	78	900	2	774	42	850	4	0	0	520	14	0	0	0	0	0	0	601	18	0	0	254	6	13.873540753238736	PF11329 || NO_PFAM	0.9675016157972134	1192868	1192868.GCA_000304395_03677	1192868.GCA_000304395_04187	PF06165;PF10091;PF11329;PF17167	982	900	900	0	64	900	774	0	0	48	0	0	0	264	0	0	neighborhood_transferred;fusion;cooccurence;coexpression_transferred;database_transferred	1192868.GCA_000304395_03677 || 1192868.GCA_000304395_04187	True	False
PF12558	DUF3744 - ATP-binding cassette cobalt transporter	NO_PFAM	80	19	19	40	999	860.225	900	900	0	773	30	385	66	900	26	775	32	627	4	828	12	763	66	0	0	916	48	900	2	564	28	710	6	270	64	12.185913701780422	PF12558 || NO_PFAM	0.9667827216635574	220668	220668.lp_0149	220668.lp_0148	PF00005;PF12558	999	900	854	773	263	854	775	0	828	369	0	550	900	0	709	129	neighborhood;neighborhood_transferred;fusion;cooccurence;coexpression;coexpression_transferred;experiments_transferred;database;textmining;textmining_transferred	220668.lp_0148 || 220668.lp_0149	True	False
PF07469	DUF1518 - Nuclear receptor coactivator, DUF1518	PF00989;PF07469;PF08815;PF08832;PF14598;PF16279;PF16665;PF23172	292	47	115	80	998	974.2465753424658	900	114	12	0	0	0	0	0	0	114	218	896	292	209	28	165	284	800	12	922	286	900	160	948	264	955	42	764	278	15.71904930956362	PF07469 || PF00989;PF07469;PF08815;PF08832;PF14598;PF16279;PF16665;PF23172	0.9662908337904308	9598	9598.ENSPTRP00000020127	9598.ENSPTRP00000069925	PF00989;PF07469;PF08815;PF08832;PF14598;PF16665;PF23172	998	900	89	0	0	0	89	810	0	138	0	697	900	861	0	674	cooccurence;homology;coexpression_transferred;experiments_transferred;database;database_transferred;textmining_transferred	9598.ENSPTRP00000020127 || 9598.ENSPTRP00000069925	True	False
PF11965	DUF3479 - Domain of unknown function (DUF3479)	NO_PFAM	824	150	167	387	999	839.0873786407767	900	899	0	773	300	548	598	899	2	771	568	772	4	686	26	792	722	0	0	387	80	900	44	903	238	826	50	611	424	18.54894305996453	PF11965 || NO_PFAM	0.966247757487435	272942	272942.RCAP_rcc00663	272942.RCAP_rcc00661	PF02514;PF11965	999	900	769	686	123	0	769	0	0	443	0	0	900	0	804	159	neighborhood;neighborhood_transferred;cooccurence;coexpression_transferred;database;textmining;textmining_transferred	272942.RCAP_rcc00661 || 272942.RCAP_rcc00663	True	False
PF14252	DUF4347 - Domain of unknown function (DUF4347)	NO_PFAM	594	123	140	280	994	793.6195286195286	900	900	0	773	178	227	230	900	10	774	280	976	14	58	4	840	290	0	0	974	208	900	22	752	150	901	14	821	278	17.8291245367557	PF14252 || NO_PFAM	0.9645713077215726	481446	481446.NIT7645_03264	481446.NIT7645_01577	PF00353;PF14252	994	0	222	0	222	0	168	0	0	54	0	974	0	613	0	221	neighborhood_transferred;cooccurence;coexpression_transferred;experiments_transferred;database_transferred;textmining_transferred	481446.NIT7645_01577 || 481446.NIT7645_03264	True	False
PF20169	DUF6537 - Family of unknown function (DUF6537)	NO_PFAM	1752	298	378	717	999	780.1073059360731	900	900	0	773	42	590	1596	900	8	774	164	983	22	42	2	930	916	0	0	948	164	0	0	906	1582	713	2	745	1618	20.669971031702605	PF20169 || NO_PFAM	0.9642399985532336	1192868	1192868.GCA_000304395_00346	1192868.GCA_000304395_00345	PF01558;PF20169	999	900	900	732	229	900	774	0	0	537	0	606	0	610	0	389	neighborhood;neighborhood_transferred;fusion;cooccurence;coexpression_transferred;experiments_transferred;database_transferred;textmining_transferred	1192868.GCA_000304395_00345 || 1192868.GCA_000304395_00346	True	False
PF21813	DUF6882 - Family of unknown function (DUF6882)	NO_PFAM	98	21	23	48	979	759.6938775510204	773	773	0	773	26	77	8	604	4	772	56	938	2	0	0	75	22	0	0	909	26	0	0	743	22	0	0	166	18	12.323204756851222	PF21813 || NO_PFAM	0.9641678750878764	59750	59750.AWC31_22350	59750.AWC31_04245	PF21813	979	0	75	0	75	0	0	0	0	56	0	909	0	743	0	166	neighborhood_transferred;coexpression_transferred;experiments_transferred;database_transferred;textmining_transferred	59750.AWC31_04245 || 59750.AWC31_22350	True	False
PF11862	DUF3382 - Domain of unknown function (DUF3382)	NO_PFAM	172	34	35	85	999	838.8372093023256	900	893	0	773	18	465	158	893	78	775	108	664	6	53	6	824	148	0	0	836	14	900	8	767	72	0	0	227	134	14.056987717476607	PF11862 || NO_PFAM	0.9638178637725572	1218098	1218098.GCA_001598715_00091	1218098.GCA_001598715_00089	PF02653;PF11862	999	900	774	773	165	744	774	0	0	644	0	0	900	0	0	227	neighborhood;neighborhood_transferred;fusion;cooccurence;coexpression_transferred;database;textmining_transferred	1218098.GCA_001598715_00089 || 1218098.GCA_001598715_00091	True	False
PF13584	BatD - BatD DUF11 like domain	NO_PFAM	1542	278	285	766	995	787.568093385214	900	900	0	773	510	481	656	900	16	775	1450	729	4	84	2	730	174	0	0	179	106	0	0	778	24	0	0	269	344	20.40390741600589	PF13584 || NO_PFAM	0.9638126005371652	49280	49280.A9996_04725	49280.A9996_04720	PF13584	995	900	900	773	136	900	775	0	0	104	0	0	0	0	0	62	neighborhood;neighborhood_transferred;fusion;cooccurence;coexpression_transferred;textmining_transferred	49280.A9996_04720 || 49280.A9996_04725	True	False
PF25372	DUF7885 - Leucine Rich Repeat Domain of unknown function (DUF7885)	NO_PFAM	11098	626	1739	2962	999	816.7183276265994	900	900	0	737	8	147	48	900	58	773	116	984	58	167	58	811	3144	0	0	997	10044	900	218	976	9284	910	502	905	10396	23.99650337441782	PF25372 || NO_PFAM	0.9625074197162056	9598	9598.ENSPTRP00000009437	9598.ENSPTRP00000069790	PF02008;PF02373;PF12937;PF13621;PF16866;PF17811;PF25372	999	0	0	0	0	0	0	0	0	64	0	997	0	631	0	815	coexpression_transferred;experiments_transferred;database_transferred;textmining_transferred	9598.ENSPTRP00000009437 || 9598.ENSPTRP00000069790	True	False
PF05957	DUF883 - DUF883 N-terminal domain	NO_PFAM	222	70	78	103	992	795.5675675675676	773	773	0	773	124	352	118	0	0	772	52	897	2	863	22	923	88	0	0	443	2	0	0	429	2	882	20	251	18	15.47853152554275	PF05957 || NO_PFAM	0.9596693414267794	580	580.GCA_001266615_01294	580.GCA_001266615_01293	PF05957;PF19029	991	773	773	773	183	0	747	0	0	826	0	0	0	0	0	115	neighborhood;neighborhood_transferred;cooccurence;coexpression_transferred;textmining_transferred	580.GCA_001266615_01293 || 580.GCA_001266615_01294	True	False
PF23653	DUF7149 - Domain of unknown function (DUF7149)	NO_PFAM	48	12	14	23	976	803.8333333333334	900	900	0	773	26	150	20	900	4	775	8	649	2	53	4	914	20	0	0	0	0	0	0	0	0	0	0	167	16	10.8217190130337	PF23653 || NO_PFAM	0.958135584807768	317619	317619.GCA_000332315_04436	317619.GCA_000332315_04437	PF23653;PF25120	976	900	900	0	0	900	775	0	0	0	0	0	0	0	0	0	fusion;cooccurence	317619.GCA_000332315_04436 || 317619.GCA_000332315_04437	True	False
PF12079	DUF3558 - Protein of unknown function (DUF3558)	NO_PFAM	2576	111	305	986	997	755.7057453416149	773	774	0	773	570	594	446	89	2	774	1866	970	12	64	46	734	194	0	0	950	300	0	0	830	170	0	0	785	222	18.83837895324256	PF12079 || NO_PFAM	0.9569064391244932	44010	44010.AWC00_14145	44010.AWC00_14140	PF12079	997	773	774	773	463	0	774	0	0	722	0	0	0	0	0	719	neighborhood;neighborhood_transferred;cooccurence;coexpression_transferred;textmining_transferred	44010.AWC00_14140 || 44010.AWC00_14145	True	False
PF11812	DUF3333 - Domain of unknown function (DUF3333)	NO_PFAM	110	35	36	54	999	841.0909090909091	880	880	0	768	24	546	106	880	8	773	12	609	2	0	0	910	90	0	0	0	0	800	2	921	70	0	0	418	92	13.636568078224556	PF11812 || NO_PFAM	0.9543410514219888	1192759	1192759.GCA_000277525_00692	1192759.GCA_000277525_00693	PF00528;PF11812	999	768	773	768	402	0	773	0	0	910	0	0	0	921	0	272	neighborhood;neighborhood_transferred;cooccurence;coexpression_transferred;database_transferred;textmining_transferred	1192759.GCA_000277525_00692 || 1192759.GCA_000277525_00693	True	False
PF11815	DUF3336 - Domain of unknown function (DUF3336)	NO_PFAM	8868	498	935	2842	995	815.4551195308976	900	900	0	511	6	219	4528	900	22	763	82	985	50	116	24	364	940	0	0	976	992	900	1206	981	7594	793	36	772	8108	23.315529520879487	PF11815 || NO_PFAM	0.9542046313948266	515849	515849.A0A090C996	515849.B2AXD9	PF01734;PF11815	995	900	0	0	0	0	0	0	0	0	0	960	900	0	0	63	experiments_transferred;database;textmining_transferred	515849.A0A090C996 || 515849.B2AXD9	True	False
PF16279	DUF4927 - Domain of unknown function (DUF4927)	PF00989;PF07469;PF08815;PF08832;PF14598;PF16665;PF23172	158	43	79	43	998	980.632911392405	900	114	6	0	0	0	0	0	0	114	86	847	158	103	10	173	158	735	6	785	156	900	84	948	146	951	22	764	152	14.624238544584411	PF16279 || PF00989;PF07469;PF08815;PF08832;PF14598;PF16665;PF23172	0.9522746817308894	61853	61853.ENSNLEP00000013823	61853.ENSNLEP00000047649	PF00989;PF07469;PF08815;PF08832;PF14598;PF16279;PF16665;PF23172	998	900	87	0	0	0	87	812	0	135	0	689	900	870	0	684	cooccurence;homology;coexpression_transferred;experiments_transferred;database;database_transferred;textmining_transferred	61853.ENSNLEP00000013823 || 61853.ENSNLEP00000047649	True	False
PF21593	DUF6853 - Family of unknown function (DUF6853)	NO_PFAM	2	1	1	1	900	900.0	900	0	2	0	0	0	0	0	0	0	0	991	2	0	0	0	0	900	2	0	0	0	0	0	0	0	0	0	0	3.9342127941220553	PF21593 || NO_PFAM	0.949025651404869	122586	122586.NMB0500	122586.NMB1774	PF21593	900	900	0	0	0	0	0	991	0	0	900	0	0	0	0	0	homology;experiments	122586.NMB0500 || 122586.NMB1774	True	False
PF04037	DUF382 - Domain of unknown function (DUF382) 	NO_PFAM	30476	750	825	13152	999	842.0949599684998	994	900	14	0	0	0	0	900	12	334	90	0	0	386	164	784	17952	994	14	999	30390	900	850	999	17104	822	96	899	26094	26.815563983839027	PF04037 || NO_PFAM	0.9485041932697812	9685	9685.ENSFCAP00000012325	9685.ENSFCAP00000021835	PF02037;PF04037;PF04046	999	900	0	0	0	0	0	0	0	0	0	844	900	917	0	450	experiments_transferred;database;database_transferred;textmining_transferred	9685.ENSFCAP00000012325 || 9685.ENSFCAP00000021835	True	False
PF11306	DUF3108 - Protein of unknown function (DUF3108)	NO_PFAM	2658	403	446	1242	990	750.5522949586154	773	774	0	773	230	508	458	353	4	774	2322	787	4	108	14	299	234	0	0	951	432	0	0	923	390	0	0	471	518	21.43553514716532	PF11306 || NO_PFAM	0.9473313137116216	225991	225991.MA05_03380	225991.MA05_04300	PF11306	990	0	345	0	345	0	0	0	0	54	0	768	0	903	0	418	neighborhood_transferred;coexpression_transferred;experiments_transferred;database_transferred;textmining_transferred	225991.MA05_03380 || 225991.MA05_04300	True	False
PF05949	DUF881 - Bacterial protein of unknown function (DUF881)	NO_PFAM	278	104	116	131	992	798.4748201438849	773	775	0	773	246	598	220	0	0	775	58	645	10	882	8	883	24	0	0	0	0	0	0	0	0	870	4	606	24	16.48713248213641	PF05949 || NO_PFAM	0.9463508612049968	224308	224308.BSU15260	224308.BSU15250	PF05949	992	701	775	701	169	0	775	0	283	0	0	0	0	0	849	0	neighborhood;neighborhood_transferred;cooccurence;coexpression;textmining	224308.BSU15250 || 224308.BSU15260	True	False
PF14270	DUF4358 - Domain of unknown function (DUF4358)	NO_PFAM	28	10	10	14	953	789.7857142857143	773	774	0	773	16	161	10	0	0	774	16	931	2	0	0	70	2	0	0	566	2	0	0	345	2	0	0	79	2	9.710086375583217	PF14270 || NO_PFAM	0.9399927595815762	410072	410072.ERS852525_02521	410072.ERS852525_02520	PF14270	953	773	774	773	155	0	774	0	0	0	0	0	0	0	0	0	neighborhood;neighborhood_transferred;cooccurence	410072.ERS852525_02520 || 410072.ERS852525_02521	True	False
PF09661	DUF2398 - Protein of unknown function (DUF2398)	NO_PFAM	208	37	46	91	960	776.5576923076923	773	775	0	773	54	556	88	0	0	775	196	665	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.165506571417582	PF09661 || NO_PFAM	0.9351428826829192	166486	166486.ERS852572_01615	166486.ERS852572_01617	PF09661	960	773	775	773	284	0	775	0	0	0	0	0	0	0	0	0	neighborhood;neighborhood_transferred;cooccurence	166486.ERS852572_01615 || 166486.ERS852572_01617	True	False
PF12473	DUF3694 - Kinesin protein 	NO_PFAM	1022	151	222	390	974	763.320939334638	900	900	4	0	0	0	0	900	118	497	32	966	362	72	52	711	416	422	4	924	634	540	374	973	662	896	214	863	874	19.582974763861227	PF12473 || NO_PFAM	0.935030210262336	43179	43179.ENSSTOP00000029197	43179.ENSSTOP00000002853	PF00566;PF12473	974	0	0	0	0	0	0	0	0	78	0	72	0	973	0	0	coexpression_transferred;experiments_transferred;database_transferred	43179.ENSSTOP00000002853 || 43179.ENSSTOP00000029197	True	False
PF11898	DUF3418 - Domain of unknown function (DUF3418)	NO_PFAM	2524	420	420	1262	999	828.7464342313788	900	900	0	773	114	601	266	900	16	774	76	606	2	65	14	523	620	0	0	968	2402	0	0	999	2286	706	2	437	1940	21.71926200907422	PF11898 || NO_PFAM	0.9332467433987304	1122190	1122190.GCA_000621105_00421	1122190.GCA_000621105_02041	PF00270;PF00271;PF07717;PF11898;PF21010	999	0	0	0	0	0	0	0	0	50	0	324	0	999	0	0	coexpression_transferred;experiments_transferred;database_transferred	1122190.GCA_000621105_00421 || 1122190.GCA_000621105_02041	True	False
PF11897	DUF3417 - Protein of unknown function (DUF3417)	NO_PFAM	882	179	184	431	996	831.1995464852607	900	900	0	773	36	600	720	900	14	405	72	819	4	47	8	923	730	0	0	788	586	900	48	984	660	0	0	793	716	18.969238902384376	PF11897 || NO_PFAM	0.933058216292454	1888	1888.Salbus254_1654	1888.Salbus254_5855	PF00343;PF11897	996	0	400	0	400	0	192	0	0	538	0	0	0	984	0	199	neighborhood_transferred;cooccurence;coexpression_transferred;database_transferred;textmining_transferred	1888.Salbus254_1654 || 1888.Salbus254_5855	True	False
PF13786	DUF4179 - Domain of unknown function (DUF4179)	NO_PFAM	204	39	55	86	963	759.4607843137255	773	774	0	773	26	350	68	0	0	774	144	982	2	0	0	440	44	0	0	859	54	0	0	844	38	0	0	414	48	14.24776888736628	PF13786 || NO_PFAM	0.9291170766453256	1351755	1351755.CCH01_19260	1351755.CCH01_19270	PF13786;PF18705	963	773	773	773	350	0	771	0	0	0	0	0	0	0	0	0	neighborhood;neighborhood_transferred;cooccurence	1351755.CCH01_19260 || 1351755.CCH01_19270	True	False
PF17140	DUF5113 - Domain of unknown function (DUF5113)	NO_PFAM	150	13	13	75	998	785.44	773	773	0	773	12	418	72	0	0	772	106	608	6	58	16	274	56	0	0	966	58	0	0	867	72	0	0	350	72	11.84139449604544	PF17140 || NO_PFAM	0.9223797436596468	645274	645274.SAMN04487901_11165	645274.SAMN04487901_11164	PF02518;PF17139;PF17140	984	773	773	773	355	0	746	0	0	45	0	196	0	484	0	160	neighborhood;neighborhood_transferred;cooccurence;coexpression_transferred;experiments_transferred;database_transferred;textmining_transferred	645274.SAMN04487901_11164 || 645274.SAMN04487901_11165	True	False
PF17139	DUF5112 - Domain of unknown function (DUF5112)	NO_PFAM	130	12	12	65	998	783.3230769230769	773	773	0	773	12	418	54	0	0	772	94	608	6	58	16	274	44	0	0	966	52	0	0	867	56	0	0	350	56	11.551096038124223	PF17139 || NO_PFAM	0.9223797436596468	645274	645274.SAMN04487901_11165	645274.SAMN04487901_10730	PF02518;PF17139;PF17140	998	0	418	0	418	0	393	0	0	208	0	966	0	867	0	350	neighborhood_transferred;cooccurence;coexpression_transferred;experiments_transferred;database_transferred;textmining_transferred	645274.SAMN04487901_10730 || 645274.SAMN04487901_11165	True	False
PF14332	DUF4388 - Domain of unknown function (DUF4388)	NO_PFAM	2206	82	244	644	998	776.4406165004533	773	774	0	773	158	567	916	660	8	774	1514	613	58	46	8	649	654	0	0	987	876	0	0	888	794	882	6	398	698	18.084070621849936	PF14332 || NO_PFAM	0.9210370378304829	317619	317619.GCA_000332315_02144	317619.GCA_000332315_04115	PF00072;PF14332	998	0	299	0	188	0	299	0	0	69	0	987	0	780	0	210	neighborhood_transferred;cooccurence;coexpression_transferred;experiments_transferred;database_transferred;textmining_transferred	317619.GCA_000332315_02144 || 317619.GCA_000332315_04115	True	False
PF06949	DUF1292 - Protein of unknown function (DUF1292)	NO_PFAM	1568	158	186	711	941	751.2487244897959	773	831	0	773	184	831	182	0	0	775	1456	775	2	102	14	739	16	0	0	0	0	0	0	0	0	0	0	74	2	19.10000215717349	PF06949 || NO_PFAM	0.9202669884934868	1849491	1849491.BVH56_03345	1849491.BVH56_03340	PF06949	941	746	746	746	347	0	0	0	0	675	0	0	0	0	0	0	neighborhood;neighborhood_transferred;coexpression_transferred	1849491.BVH56_03340 || 1849491.BVH56_03345	True	False
